Tickers,Analyst Rating,Industry,Working Capital,,,,,Quick Ratio,,,,,EPS,,,,,PE Ratio,,,,,Short to Long Term Debt,,,,,ROE,,,,,Current,,,,,Net Project Margin,,,,,Ave 30 day Volume,Ave 6 month Volume,Ave 3 month Volume,Volume 5day ave,PX 1 Yr Ago,PX 6 Months Ago,PX 3m ago,PX 1 Day ago
AMZN UW Equity,4.719298363,Communications,5736.00,7112.00,6918.00,8522.00,6274.00,0.83,0.84,0.84,0.86,0.84,7.24,5.32,4.31,6.58,5.09,78.25,78.57,76.88,80.31,93.15,69005.00,71614.00,74591.00,77535.00,78151.00,30.06,27.47,23.73,21.95,18.58,1.09,1.10,1.10,1.10,1.08,5.96,4.14,3.05,3.74,3.36,1281940.88,1495743.25,1355029.75,1631120.75,1942.91,1902.88,1997.59,2890.30
AAPL UW Equity,4.162790775,Technology,29574.00,45269.00,57101.00,61070.00,47659.00,1.02,1.21,1.17,1.25,1.14,2.47,2.20,3.05,5.04,2.58,15.99,16.85,18.89,23.20,19.95,112630.00,108418.00,108047.00,116751.00,118761.00,49.13,52.69,55.92,55.47,62.09,1.32,1.50,1.54,1.60,1.50,19.93,18.67,21.37,24.22,19.29,9660271.00,11633028,9754765,9488863,204.23,299.80,262.47,364.11
MSFT UW Equity,4.783783913,Technology,106026.00,106132.00,107778.00,107434.00,111798.00,2.80,2.35,2.68,2.65,2.73,1.15,1.72,1.40,1.53,1.41,27.58,28.40,27.87,29.26,27.84,86343.00,86455.00,85570.00,87147.00,84025.00,40.12,42.41,42.80,43.83,44.20,2.97,2.53,2.85,2.80,2.90,28.81,39.11,32.30,31.56,30.70,11846030.00,14540246,12543790,13034715,137.06,159.03,165.27,206.26
FB UW Equity,4.581818104,Communications,43392.00,44982.00,48751.00,51172.00,54280.00,5.22,4.32,4.50,4.28,4.48,0.85,0.92,2.13,2.58,1.72,22.06,25.20,22.21,25.04,20.26,7550.00,8204.00,9563.00,10797.00,10814.00,23.83,20.30,20.67,19.96,21.85,5.38,4.47,4.66,4.40,4.60,16.11,15.49,34.51,34.86,27.64,7505502.00,7262918.5,7465203,12676308,196.40,212.60,165.55,233.42
GOOG UW Equity,5,Communications,103297.00,110437.00,109134.00,107357.00,106829.00,3.80,3.84,3.62,3.21,3.46,#N/A N/A,,,,,#N/A N/A,,,,,13414.00,14226.00,14873.00,15967.00,16804.00,16.26,19.62,17.88,18.12,17.83,3.96,3.98,3.78,3.37,3.66,18.32,25.54,17.45,23.16,16.61,609247.75,748821.6875,645476.5,866608.8125,1131.59,1394.21,1186.92,1464.70
GOOGL UW Equity,4.818181992,Communications,103297.00,110437.00,109134.00,107357.00,106829.00,3.80,3.84,3.62,3.21,3.46,9.58,14.33,10.20,15.49,9.96,25.89,23.06,26.83,27.60,23.88,13414.00,14226.00,14873.00,15967.00,16804.00,16.26,19.62,17.88,18.12,17.83,3.96,3.98,3.78,3.37,3.66,18.32,25.54,17.45,23.16,16.61,773706.25,847926.5,794922.75,1027088.188,1132.67,1397.81,1183.19,1469.93
BRK/B UN Equity,4.333333492,Financial,177311.00,191635.00,206202.00,236150.00,170563.00,1.66,1.71,1.73,1.87,1.58,#N/A N/A,,,,,#N/A N/A,,,,,103203.00,105841.00,108046.00,109250.00,104233.00,7.49,7.80,6.95,21.05,2.70,1.74,1.79,1.81,1.95,1.66,26.74,19.11,21.77,30.16,,2203677.25,2212578.25,2061641,2613375.5,215.25,226.99,185.24,178.83
NFLX UW Equity,4.045454502,Communications,-2688.90,-1056.83,-1930.14,-677.19,-1405.94,0.55,0.79,0.68,0.80,0.72,0.79,0.62,1.52,1.34,1.61,127.34,144.05,85.50,78.35,76.01,11192.55,13678.12,13539.37,16372.49,16265.50,26.02,21.72,23.82,29.12,31.63,0.61,0.85,0.73,0.90,0.82,7.61,5.50,12.68,10.74,12.29,1834859.50,2246227,2134063.25,2077590.375,380.55,335.83,379.96,476.89
JPM UN Equity,3.857142925,Financial,#N/A N/A,,,,,#N/A N/A,,,,,2.65,2.83,2.69,2.58,0.79,10.95,11.70,11.90,13.50,10.56,737296.00,690591.00,710624.00,627959.00,741332.00,13.49,13.92,14.21,14.60,11.91,#N/A N/A,,,,,31.52,33.48,30.95,28.29,10.14,5147018.00,4896234,4877432,5700535.5,113.49,138.23,89.46,92.66
TMO UN Equity,4.411764622,"Consumer, Non-cyclical",4041.00,3714.00,4670.00,5696.00,7238.00,0.89,0.85,0.97,1.09,1.36,2.04,2.80,1.89,2.51,1.99,33.45,35.52,34.19,36.83,31.86,18791.00,19714.00,17740.00,18490.00,19969.00,11.80,12.84,12.77,12.91,13.04,1.69,1.49,1.80,1.92,2.32,13.31,17.72,12.12,14.67,12.65,445041.06,572365.5,477856.125,437444.8125,300.65,325.14,304.00,365.89
NVDA UW Equity,4.441860676,Technology,9228.00,9446.00,10074.00,10945.00,11906.00,6.66,7.65,7.62,7.61,7.04,0.93,0.65,0.91,1.47,1.55,29.54,34.44,44.39,64.89,57.54,1988.00,2554.00,2556.00,2548.00,2643.00,49.27,37.79,28.68,23.32,25.94,7.94,8.98,8.65,8.42,7.67,25.71,17.75,21.40,29.83,30.60,3618073.00,3561529.75,3459204.25,2918221,160.23,237.06,268.40,384.49
JNJ UN Equity,4.333333492,"Consumer, Non-cyclical",12876.00,10446.00,9171.00,9310.00,10537.00,1.01,0.95,0.93,0.94,0.98,1.41,2.11,0.67,1.52,2.20,20.43,19.04,20.28,23.30,20.13,30273.00,30429.00,30210.00,28681.00,27583.00,24.02,26.41,23.04,25.36,28.55,1.44,1.33,1.26,1.26,1.31,18.73,27.27,8.46,19.33,28.01,2445340.75,2868544.75,2505824,2926786.25,140.57,144.10,139.76,140.97
CMCSA UW Equity,4.368421078,Communications,-7644.00,-9647.00,-3666.00,-4900.00,-3516.00,0.51,0.48,0.55,0.55,0.70,0.78,0.69,0.71,0.69,0.47,15.33,16.00,16.67,16.38,12.65,113800.00,112274.00,107748.00,111989.00,108743.00,16.85,16.37,16.58,16.92,14.89,0.73,0.69,0.86,0.84,0.87,13.23,11.64,11.99,11.13,8.07,7829889.00,8670407,7780602.5,9537240,43.28,44.67,36.23,39.25
CRM UN Equity,4.690476418,Technology,-575.00,-457.00,-296.00,549.00,1114.00,0.82,0.81,0.82,0.87,0.95,0.47,0.51,0.12,-0.12,-0.28,179.16,177.45,190.88,279.61,319.20,3173.00,6768.00,6432.00,6493.00,6253.00,8.54,8.42,6.19,3.07,0.51,0.95,0.96,0.97,1.05,1.08,10.05,10.49,2.28,-2.42,-5.11,1658961.38,1687720.375,1566854.75,1552599.375,154.58,173.45,147.55,192.53
ADBE UW Equity,4.241379261,Technology,-180.02,-2344.45,-2052.87,-1696.01,1227.00,0.86,0.62,0.64,0.70,1.06,1.38,1.30,1.63,1.76,1.98,49.92,55.57,49.59,55.66,48.29,4129.59,4133.61,4137.02,4138.27,4711.00,28.99,28.45,29.08,29.67,31.79,0.97,0.70,0.74,0.79,1.23,25.92,23.05,27.97,28.47,30.90,1257290.75,1296224.375,1162240.625,1186745.25,303.98,333.71,319.13,442.95
UNH UN Equity,4.642857075,"Consumer, Non-cyclical",-16118.00,-20290.00,-19100.00,-19148.00,-19799.00,0.48,0.43,0.43,0.42,0.50,3.62,3.47,3.73,3.68,3.56,19.20,18.32,15.81,20.52,17.45,41759.00,46291.00,48844.00,44637.00,51607.00,25.42,25.62,25.40,25.32,25.31,0.73,0.67,0.70,0.69,0.75,5.75,5.43,5.86,5.81,5.25,1161531.75,1486403.75,1305044,982787,246.99,291.55,248.34,298.26
DIS UN Equity,3.967741966,Communications,-10099.00,-13223.00,-3217.00,-7021.00,-2199.00,0.56,0.50,0.58,0.69,0.81,3.56,0.98,0.58,1.17,0.25,16.91,24.83,26.56,32.46,27.66,56961.00,58234.00,47137.00,51932.00,59555.00,19.95,18.05,16.06,14.81,5.97,0.77,0.70,0.90,0.80,0.94,36.54,8.69,5.52,10.10,2.55,2997485.75,3716376.75,3338796.75,2832105.5,142.45,145.65,99.58,112.18
BA UN Equity,3.392857075,Industrial,5894.00,2922.00,9810.00,4917.00,16509.00,0.14,0.14,0.16,0.14,0.20,3.79,-5.21,2.07,-1.79,-1.11,24.16,56.89,86.63,74.32,,15808.00,20333.00,25881.00,28532.00,38927.00,1504.08,,,,,1.07,1.03,1.11,1.05,1.17,9.38,-18.68,5.84,-5.64,-3.71,5748625.00,4058038,5166384,5104599.5,355.86,333.74,148.77,180.81
MCD UN Equity,4.444444656,"Consumer, Cyclical",1584.80,675.40,-670.70,-63.10,3569.10,1.27,0.98,0.74,0.86,1.77,1.74,1.99,2.13,2.10,1.49,25.24,26.94,27.58,25.40,21.72,45289.40,45293.10,45435.20,47556.00,52311.50,#N/A N/A,,,,,1.47,1.21,0.84,0.98,1.90,26.44,28.40,29.61,29.39,23.48,1115613.50,1337320,1179310.25,1060958,211.24,202.33,177.04,183.52
V UN Equity,4.648648739,Financial,7110.00,7476.00,7555.00,4740.00,3965.00,1.14,1.17,1.02,0.82,0.86,1.48,1.56,1.53,1.66,1.57,32.69,33.59,32.00,34.10,28.81,16630.00,16694.00,16729.00,17262.00,18479.00,38.75,41.48,41.83,42.35,43.09,1.62,1.69,1.56,1.27,1.25,54.19,53.10,49.29,54.05,52.68,2755286.75,3354147.5,2927934.5,2998494.5,176.66,189.19,169.44,195.67
TXN UW Equity,3.34375,Technology,5792.00,5310.00,6706.00,6638.00,5929.00,2.56,2.13,3.19,3.04,2.54,1.29,1.38,1.51,1.14,1.25,18.83,20.64,24.04,24.58,19.53,6153.00,6159.00,6147.00,6135.00,6550.00,56.29,55.40,52.86,55.72,60.86,3.68,3.01,4.34,4.13,3.49,33.86,35.58,37.79,31.94,35.27,2293880.25,2511107.5,2350115.25,2428149,115.75,126.96,108.96,125.81
CSCO UW Equity,3.758620739,Communications,23638.00,19398.00,16043.00,17119.00,17965.00,1.67,1.56,1.39,1.54,1.64,0.63,0.70,0.52,0.69,0.68,21.26,20.61,17.82,16.91,13.70,25630.00,23698.00,24666.00,19644.00,17093.00,27.74,31.67,30.27,28.10,28.97,1.80,1.69,1.51,1.70,1.81,22.67,23.49,16.43,22.24,23.97,8877948.00,9096618,8177218,11953928,56.60,47.80,41.43,45.63
GS UN Equity,4.159999847,Financial,#N/A N/A,,,,,#N/A N/A,,,,,5.73,5.86,4.83,4.74,3.12,7.83,8.46,9.21,9.72,7.23,435850.00,442215.00,481713.00,459814.00,486161.00,12.29,11.81,10.87,9.99,8.53,#N/A N/A,,,,,17.07,17.11,14.69,13.88,9.96,863751.81,941082.3125,832163.3125,930372,207.90,233.95,158.23,197.40
C UN Equity,4.692307472,Financial,#N/A N/A,,,,,#N/A N/A,,,,,1.88,1.95,2.09,2.16,1.05,8.83,9.12,8.84,9.15,8.24,628032.00,598478.00,592589.00,584555.00,707117.00,9.29,9.49,9.82,10.27,9.04,#N/A N/A,,,,,18.19,18.10,18.82,19.98,9.56,6891475.00,6342032.5,6226932.5,6246820.5,71.40,79.45,41.12,50.55
