Rating,Working Capital,Column2,Column3,Column4,Column5,Quick Ratio,Column6,Column7,Column8,Column9,EPS,Column10,Column11,Column12,Column13,PE Ratio,Column14,Column15,Column16,Column17,Short to Long Term Debt,Column18,Column19,Column20,Column21,ROE,Column22,Column23,Column24,Column25,Current,Column26,Column27,Column28,Column29,Net Project Margin,Column30,Column31,Column32,Column33,Ave 30 day Volume,Ave 6 month Volume,Ave 3 month Volume,Volume 5day ave,PX 1 Yr Ago,PX 6 Months Ago,PX 3m ago,PX 1 Day ago
5,5736,7112,6918,8522,6274,0.83,0.84,0.84,0.86,0.84,7.24,5.32,4.31,6.58,5.09,78.25,78.57,76.88,80.31,93.15,69005,71614,74591,77535,78151,30.06,27.47,23.73,21.95,18.58,1.09,1.1,1.1,1.1,1.08,5.96,4.14,3.05,3.74,3.36,1281940.88,1495743.25,1355029.75,1631120.75,1942.91,1902.88,1997.59,2890.3
4,29574,45269,57101,61070,47659,1.02,1.21,1.17,1.25,1.14,2.47,2.2,3.05,5.04,2.58,15.99,16.85,18.89,23.2,19.95,112630,108418,108047,116751,118761,49.13,52.69,55.92,55.47,62.09,1.32,1.5,1.54,1.6,1.5,19.93,18.67,21.37,24.22,19.29,9660271,11633028,9754765,9488863,204.23,299.8,262.47,364.11
5,106026,106132,107778,107434,111798,2.8,2.35,2.68,2.65,2.73,1.15,1.72,1.4,1.53,1.41,27.58,28.4,27.87,29.26,27.84,86343,86455,85570,87147,84025,40.12,42.41,42.8,43.83,44.2,2.97,2.53,2.85,2.8,2.9,28.81,39.11,32.3,31.56,30.7,11846030,14540246,12543790,13034715,137.06,159.03,165.27,206.26
5,43392,44982,48751,51172,54280,5.22,4.32,4.5,4.28,4.48,0.85,0.92,2.13,2.58,1.72,22.06,25.2,22.21,25.04,20.26,7550,8204,9563,10797,10814,23.83,20.3,20.67,19.96,21.85,5.38,4.47,4.66,4.4,4.6,16.11,15.49,34.51,34.86,27.64,7505502,7262918.5,7465203,12676308,196.4,212.6,165.55,233.42
5,103297,110437,109134,107357,106829,3.8,3.84,3.62,3.21,3.46,9.58,14.33,10.2,15.49,9.96,25.89,23.06,26.83,27.6,23.88,13414,14226,14873,15967,16804,16.26,19.62,17.88,18.12,17.83,3.96,3.98,3.78,3.37,3.66,18.32,25.54,17.45,23.16,16.61,773706.25,847926.5,794922.75,1027088.188,1132.67,1397.81,1183.19,1469.93
4,-2688.9,-1056.83,-1930.14,-677.19,-1405.94,0.55,0.79,0.68,0.8,0.72,0.79,0.62,1.52,1.34,1.61,127.34,144.05,85.5,78.35,76.01,11192.55,13678.12,13539.37,16372.49,16265.5,26.02,21.72,23.82,29.12,31.63,0.61,0.85,0.73,0.9,0.82,7.61,5.5,12.68,10.74,12.29,1834859.5,2246227,2134063.25,2077590.375,380.55,335.83,379.96,476.89
4,4041,3714,4670,5696,7238,0.89,0.85,0.97,1.09,1.36,2.04,2.8,1.89,2.51,1.99,33.45,35.52,34.19,36.83,31.86,18791,19714,17740,18490,19969,11.8,12.84,12.77,12.91,13.04,1.69,1.49,1.8,1.92,2.32,13.31,17.72,12.12,14.67,12.65,445041.06,572365.5,477856.125,437444.8125,300.65,325.14,304,365.89
4,9228,9446,10074,10945,11906,6.66,7.65,7.62,7.61,7.04,0.93,0.65,0.91,1.47,1.55,29.54,34.44,44.39,64.89,57.54,1988,2554,2556,2548,2643,49.27,37.79,28.68,23.32,25.94,7.94,8.98,8.65,8.42,7.67,25.71,17.75,21.4,29.83,30.6,3618073,3561529.75,3459204.25,2918221,160.23,237.06,268.4,384.49
4,12876,10446,9171,9310,10537,1.01,0.95,0.93,0.94,0.98,1.41,2.11,0.67,1.52,2.2,20.43,19.04,20.28,23.3,20.13,30273,30429,30210,28681,27583,24.02,26.41,23.04,25.36,28.55,1.44,1.33,1.26,1.26,1.31,18.73,27.27,8.46,19.33,28.01,2445340.75,2868544.75,2505824,2926786.25,140.57,144.1,139.76,140.97
4,-7644,-9647,-3666,-4900,-3516,0.51,0.48,0.55,0.55,0.7,0.78,0.69,0.71,0.69,0.47,15.33,16,16.67,16.38,12.65,113800,112274,107748,111989,108743,16.85,16.37,16.58,16.92,14.89,0.73,0.69,0.86,0.84,0.87,13.23,11.64,11.99,11.13,8.07,7829889,8670407,7780602.5,9537240,43.28,44.67,36.23,39.25
5,-575,-457,-296,549,1114,0.82,0.81,0.82,0.87,0.95,0.47,0.51,0.12,-0.12,-0.28,179.16,177.45,190.88,279.61,319.2,3173,6768,6432,6493,6253,8.54,8.42,6.19,3.07,0.51,0.95,0.96,0.97,1.05,1.08,10.05,10.49,2.28,-2.42,-5.11,1658961.38,1687720.375,1566854.75,1552599.375,154.58,173.45,147.55,192.53
4,-180.02,-2344.45,-2052.87,-1696.01,1227,0.86,0.62,0.64,0.7,1.06,1.38,1.3,1.63,1.76,1.98,49.92,55.57,49.59,55.66,48.29,4129.59,4133.61,4137.02,4138.27,4711,28.99,28.45,29.08,29.67,31.79,0.97,0.7,0.74,0.79,1.23,25.92,23.05,27.97,28.47,30.9,1257290.75,1296224.375,1162240.625,1186745.25,303.98,333.71,319.13,442.95
5,-16118,-20290,-19100,-19148,-19799,0.48,0.43,0.43,0.42,0.5,3.62,3.47,3.73,3.68,3.56,19.2,18.32,15.81,20.52,17.45,41759,46291,48844,44637,51607,25.42,25.62,25.4,25.32,25.31,0.73,0.67,0.7,0.69,0.75,5.75,5.43,5.86,5.81,5.25,1161531.75,1486403.75,1305044,982787,246.99,291.55,248.34,298.26
